CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,cohesiveness_clustering,civic_volunteering
"Syracuse, NY",Northeast,657128,1.3695961821745537,4.443578724388551,0.2465461057847678,0.1116153183238176,0.7881875569019788,0.10378480836407238,0.06436389870774929
"Tampa-St. Petersburg-Clearwater, FL",South,3240469,3.919185772182977,5.1474030456702415,0.0254959936589996,0.1977274508897433,0.7305928729593965,0.08092662791481287,0.05743427362575532
"Toledo, OH",Midwest,602977,1.260412917905658,9.41992812329492,0.2268326116756239,0.0868926652015926,0.7184165391108299,0.09835231577251663,0.07965581938191592
"Tucson, AZ",West,1049947,4.45736784809138,7.943258088265408,0.0190059279142072,0.1713730967777221,0.71572,0.080949999,0.053169999
"Tulsa, OK",South,1026209,2.4946185426165624,7.230495932115192,0.0670275617225398,0.1385403398466082,0.7652343171966123,0.09041939533317905,0.09495585138801178
"Urban Honolulu, HI",West,1003666,1.6539366681744725,2.849553536734332,0.0299332042360385,0.1281232458390294,1.12176,0.092490003,0.060770001
"Virginia Beach-Chesapeake-Norfolk, VA-NC",South,1782590,1.6044070706107405,10.120106137698516,0.0557169207564284,0.1810025327670974,0.8527056148639763,0.08813567208050294,0.05153851276654739
"Washington-Arlington-Alexandria, DC-VA-MD-WV",South,6263796,1.7657024590200574,6.721163971495879,0.0812811333443403,0.1517885691044469,1.0429362199073293,0.08585626725556467,0.06483128302334912
"Wichita, KS",Midwest,648935,1.756724479339225,7.150176828187723,0.1074010921413308,0.1248947788737561,0.8253038603707714,0.0961950699596885,0.06349089566447323
"Winston-Salem, NC",South,683637,1.7260622230803773,6.582440681238728,0.0609368473266499,0.1452524540517961,0.6290225189082922,0.09801439289156813,0.04690745112882783
"Worcester, MA",Northeast,861664,0.9980688528243028,1.8104504772161771,0.2750244054272011,0.1189287078564253,0.93479002,0.09793999800000001,0.068279997
